author_id,name,gender,seniority,nbpub,pubrate
1,A. Kumaran,u,11,26,2.36
2,A. Prasad Sistla,u,32,114,3.56
3,Abdullah Mueen,m,5,18,3.6
4,Abdulmohsen Algarni,u,6,15,2.5
5,Abdur Chowdhury,m,18,70,3.89
6,Abhay Harpale,m,10,10,1
7,Abhay Mehta,m,15,18,1.2
8,Abhijit Pol,m,10,10,1
9,Abhijith Kashyap,u,5,8,1.6
10,Abhimanyu Das,u,12,23,1.92
11,Abhimanyu Lad,u,10,10,1
12,Abhinandan Das,u,12,8,0.67
13,Abhinav Gupta,m,11,49,4.45
14,Abhishek Gupta,m,11,46,4.18
15,Abhishek Mukherji,m,7,8,1.14
16,Abraham Bagherjeiran,m,9,15,1.67
17,Abraham Bernstein,m,19,93,4.89
18,Achim Kraiss,m,19,17,0.89
19,Ad Feelders,m,19,43,2.26
20,Ada Wai-Chee Fu,w,25,140,5.6
21,Adam Bermingham,m,6,5,0.83
22,Adam Bosworth,m,18,12,0.67
23,Adam J. Storm,m,13,9,0.69
24,Adam Jatowt,m,11,67,6.09
25,Adam K. Usadi,m,3,4,1.33
26,Adam L. Berger,m,20,17,0.85
27,Adam Marcus,m,8,19,2.38
28,Adam Silberstein,m,10,34,3.4
29,Adam Woznica,m,9,16,1.78
30,Adele E. Howe,w,28,84,3
31,Adina Crainiceanu,w,11,11,1
32,Adish Singla,u,5,15,3
33,Aditya G. Parameswaran,m,6,31,5.17
34,Aditya Pal,m,5,17,3.4
35,Adrian Popescu,m,21,79,3.76
36,Adrian Silvescu,m,17,28,1.65
37,Adriane Chapman,w,12,24,2
38,Adriano Veloso,m,13,62,4.77
39,Adwait Ratnaparkhi,u,20,24,1.2
40,Agma J. M. Traina,u,17,178,10.47
41,Ah-Hwee Tan,m,19,112,5.89
42,Ahmad Ghazal,m,13,18,1.38
43,Ahmed Eldawy,m,3,16,5.33
44,Ahmed Hassan Awadallah,m,8,30,3.75
45,Ahmed K. Elmagarmid,m,29,184,6.34
46,Ahmed Metwally,m,10,20,2
47,Aidong Zhang,u,25,221,8.84
48,Aijun An,u,20,95,4.75
49,Aimin Pan,u,9,7,0.78
50,Aisling Kelliher,w,10,38,3.8
51,Aixin Sun,u,13,108,8.31
52,Aiyou Chen,u,10,28,2.8
53,Ajay Gupta,m,12,11,0.92
54,Ajay Gupta,m,21,12,0.57
55,Ajita John,w,20,37,1.85
56,Akanksha Baid,u,7,9,1.29
57,Akhmed Umyarov,m,7,6,0.86
58,Akihiro Inokuchi,m,15,26,1.73
59,Akisato Kimura,u,13,46,3.54
60,Akrivi Vlachou,u,9,39,4.33
61,Akshay Java,m,11,17,1.55
